Info [2021-07-21 23:38:02]CELLLog::SetLogPath success, </root/LearnSocket/logs/Client.txt,w>
Info [2021-07-21 23:38:02]CELLConfig::getStr strIP=127.0.0.1
Info [2021-07-21 23:38:02]CELLConfig::getInt nPort=4567
Info [2021-07-21 23:38:02]CELLConfig::getInt nThread=8
Info [2021-07-21 23:38:02]CELLConfig::getInt nClient=150
Info [2021-07-21 23:38:02]CELLConfig::getInt nMsg=1
Info [2021-07-21 23:38:02]CELLConfig::getInt nSendSleep=1000
Info [2021-07-21 23:38:02]CELLConfig::getInt nSendBuffSize=81920
Info [2021-07-21 23:38:02]CELLConfig::getInt nRecvBuffSize=81920
Info [2021-07-21 23:38:02]Thread<2>,start.
Info [2021-07-21 23:38:02]Thread<1>,start.
Info [2021-07-21 23:38:02]Thread<3>,start.
Info [2021-07-21 23:38:02]Thread<4>,start.
Info [2021-07-21 23:38:02]Thread<5>,start.
Info [2021-07-21 23:38:02]Thread<6>,start.
Info [2021-07-21 23:38:02]Thread<7>,start.
Info [2021-07-21 23:38:02]Thread<8>,start.
Info [2021-07-21 23:38:02]Thread<5>, Connect<begin=0, end=150, nConnect=671>
Info [2021-07-21 23:38:02]Thread<7>, Connect<begin=0, end=150, nConnect=672>
Info [2021-07-21 23:38:02]Thread<2>, Connect<begin=0, end=150, nConnect=716>
Info [2021-07-21 23:38:03]Thread<3>, Connect<begin=0, end=150, nConnect=1068>
Info [2021-07-21 23:38:03]Thread<1>, Connect<begin=0, end=150, nConnect=1130>
Info [2021-07-21 23:38:03]Thread<8>, Connect<begin=0, end=150, nConnect=1133>
Info [2021-07-21 23:38:03]Thread<4>, Connect<begin=0, end=150, nConnect=1151>
Info [2021-07-21 23:38:03]Thread<6>, Connect<begin=0, end=150, nConnect=1200>
Info [2021-07-21 23:38:03]thread<8>,clients<150>,connect<1200>,time<1.000092>,send<0>
Info [2021-07-21 23:38:04]thread<8>,clients<150>,connect<1200>,time<1.000285>,send<1200>
Info [2021-07-21 23:38:05]thread<8>,clients<150>,connect<1200>,time<1.000472>,send<1200>
Info [2021-07-21 23:38:06]thread<8>,clients<150>,connect<1200>,time<1.000312>,send<1200>
Info [2021-07-21 23:38:07]thread<8>,clients<150>,connect<1200>,time<1.001194>,send<1200>
Info [2021-07-21 23:38:08]thread<8>,clients<150>,connect<1200>,time<1.000659>,send<1200>
Info [2021-07-21 23:38:09]thread<8>,clients<150>,connect<1200>,time<1.000272>,send<1200>
Info [2021-07-21 23:38:10]thread<8>,clients<150>,connect<1200>,time<1.000421>,send<1200>
Info [2021-07-21 23:38:11]thread<8>,clients<150>,connect<1200>,time<1.000730>,send<1200>
Info [2021-07-21 23:38:12]thread<8>,clients<150>,connect<1200>,time<1.001541>,send<1200>
Info [2021-07-21 23:38:13]thread<8>,clients<150>,connect<1200>,time<1.000391>,send<1200>
Info [2021-07-21 23:38:14]thread<8>,clients<150>,connect<1200>,time<1.001194>,send<1200>
Info [2021-07-21 23:38:15]thread<8>,clients<150>,connect<1200>,time<1.001350>,send<1200>
Info [2021-07-21 23:38:16]thread<8>,clients<150>,connect<1200>,time<1.000715>,send<1200>
Info [2021-07-21 23:38:17]thread<8>,clients<150>,connect<1200>,time<1.000972>,send<1200>
Info [2021-07-21 23:38:18]thread<8>,clients<150>,connect<1200>,time<1.001074>,send<1200>
Info [2021-07-21 23:38:19]thread<8>,clients<150>,connect<1200>,time<1.000037>,send<1200>
Info [2021-07-21 23:38:20]thread<8>,clients<150>,connect<1200>,time<1.000046>,send<1200>
Info [2021-07-21 23:38:21]thread<8>,clients<150>,connect<1200>,time<1.000257>,send<1200>
Info [2021-07-21 23:38:22]thread<8>,clients<150>,connect<1200>,time<1.000197>,send<1200>
Info [2021-07-21 23:38:23]thread<8>,clients<150>,connect<1200>,time<1.000974>,send<1200>
Info [2021-07-21 23:38:24]thread<8>,clients<150>,connect<1200>,time<1.001378>,send<1200>
Info [2021-07-21 23:38:25]thread<8>,clients<150>,connect<1200>,time<1.000473>,send<1200>
Info [2021-07-21 23:38:26]thread<8>,clients<150>,connect<1200>,time<1.000783>,send<1200>
Info [2021-07-21 23:38:27]thread<8>,clients<150>,connect<1200>,time<1.001466>,send<1200>
Info [2021-07-21 23:38:28]thread<8>,clients<150>,connect<1200>,time<1.000909>,send<1200>
Info [2021-07-21 23:38:29]thread<8>,clients<150>,connect<1200>,time<1.001158>,send<1200>
Info [2021-07-21 23:38:30]thread<8>,clients<150>,connect<1200>,time<1.000270>,send<1200>
Info [2021-07-21 23:38:31]thread<8>,clients<150>,connect<1200>,time<1.000980>,send<1200>
Info [2021-07-21 23:38:32]thread<8>,clients<150>,connect<1200>,time<1.011154>,send<1200>
Info [2021-07-21 23:38:33]thread<8>,clients<150>,connect<1200>,time<1.000233>,send<1200>
Info [2021-07-21 23:38:34]thread<8>,clients<150>,connect<1200>,time<1.000360>,send<1200>
Info [2021-07-21 23:38:35]thread<8>,clients<150>,connect<1200>,time<1.000138>,send<1200>
Info [2021-07-21 23:38:36]thread<8>,clients<150>,connect<1200>,time<1.000844>,send<1200>
Info [2021-07-21 23:38:37]thread<8>,clients<150>,connect<1200>,time<1.000636>,send<1200>
Info [2021-07-21 23:38:38]thread<8>,clients<150>,connect<1200>,time<1.000599>,send<1200>
Info [2021-07-21 23:38:39]thread<8>,clients<150>,connect<1200>,time<1.001088>,send<1200>
Info [2021-07-21 23:38:40]thread<8>,clients<150>,connect<1200>,time<1.000930>,send<1200>
Info [2021-07-21 23:38:41]thread<8>,clients<150>,connect<1200>,time<1.000323>,send<1200>
Info [2021-07-21 23:38:42]thread<8>,clients<150>,connect<1200>,time<1.001436>,send<1200>
Info [2021-07-21 23:38:43]thread<8>,clients<150>,connect<1200>,time<1.001029>,send<1200>
Info [2021-07-21 23:38:44]thread<8>,clients<150>,connect<1200>,time<1.000194>,send<1200>
Info [2021-07-21 23:38:45]thread<8>,clients<150>,connect<1200>,time<1.000508>,send<1200>
Info [2021-07-21 23:38:46]thread<8>,clients<150>,connect<1200>,time<1.000405>,send<1200>
Info [2021-07-21 23:38:47]thread<8>,clients<150>,connect<1200>,time<1.000109>,send<1200>
Info [2021-07-21 23:38:48]thread<8>,clients<150>,connect<1200>,time<1.000705>,send<1200>
Info [2021-07-21 23:38:49]thread<8>,clients<150>,connect<1200>,time<1.001134>,send<1200>
Info [2021-07-21 23:38:50]thread<8>,clients<150>,connect<1200>,time<1.000877>,send<1200>
Info [2021-07-21 23:38:51]thread<8>,clients<150>,connect<1200>,time<1.000767>,send<1200>
Info [2021-07-21 23:38:52]thread<8>,clients<150>,connect<1200>,time<1.000509>,send<1200>
Info [2021-07-21 23:38:53]thread<8>,clients<150>,connect<1200>,time<1.000720>,send<1200>
Info [2021-07-21 23:38:54]thread<8>,clients<150>,connect<1200>,time<1.001139>,send<1200>
Info [2021-07-21 23:38:55]thread<8>,clients<150>,connect<1200>,time<1.000886>,send<1200>
Info [2021-07-21 23:38:56]thread<8>,clients<150>,connect<1200>,time<1.000995>,send<1200>
Info [2021-07-21 23:38:57]thread<8>,clients<150>,connect<1200>,time<1.000005>,send<1200>
Info [2021-07-21 23:38:58]thread<8>,clients<150>,connect<1200>,time<1.001098>,send<1200>
Info [2021-07-21 23:38:59]thread<8>,clients<150>,connect<1200>,time<1.000287>,send<1200>
Info [2021-07-21 23:39:00]thread<8>,clients<150>,connect<1200>,time<1.000301>,send<1200>
Info [2021-07-21 23:39:01]thread<8>,clients<150>,connect<1200>,time<1.000972>,send<1200>
Info [2021-07-21 23:39:02]thread<8>,clients<150>,connect<1200>,time<1.000597>,send<1200>
Info [2021-07-21 23:39:03]thread<8>,clients<150>,connect<1200>,time<1.001075>,send<1200>
Info [2021-07-21 23:39:04]thread<8>,clients<150>,connect<1200>,time<1.000213>,send<1200>
Info [2021-07-21 23:39:05]thread<8>,clients<150>,connect<1200>,time<1.001005>,send<1200>
Info [2021-07-21 23:39:06]thread<8>,clients<150>,connect<1200>,time<1.000068>,send<1200>
Info [2021-07-21 23:39:07]thread<8>,clients<150>,connect<1200>,time<1.000068>,send<1200>
Info [2021-07-21 23:39:08]thread<8>,clients<150>,connect<1200>,time<1.000113>,send<1200>
Info [2021-07-21 23:39:09]thread<8>,clients<150>,connect<1200>,time<1.000870>,send<1200>
Info [2021-07-21 23:39:10]thread<8>,clients<150>,connect<1200>,time<1.000902>,send<1200>
Info [2021-07-21 23:39:11]thread<8>,clients<150>,connect<1200>,time<1.001103>,send<1200>
Info [2021-07-21 23:39:12]thread<8>,clients<150>,connect<1200>,time<1.000875>,send<1200>
Info [2021-07-21 23:39:13]thread<8>,clients<150>,connect<1200>,time<1.001218>,send<1200>
Info [2021-07-21 23:39:14]thread<8>,clients<150>,connect<1200>,time<1.000016>,send<1200>
Info [2021-07-21 23:39:15]thread<8>,clients<150>,connect<1200>,time<1.000365>,send<1200>
Info [2021-07-21 23:39:16]thread<8>,clients<150>,connect<1200>,time<1.001695>,send<1200>
Info [2021-07-21 23:39:17]thread<8>,clients<150>,connect<1200>,time<1.000851>,send<1200>
Info [2021-07-21 23:39:18]thread<8>,clients<150>,connect<1200>,time<1.000439>,send<1200>
Info [2021-07-21 23:39:19]thread<8>,clients<150>,connect<1200>,time<1.000212>,send<1200>
Info [2021-07-21 23:39:20]thread<8>,clients<150>,connect<1200>,time<1.001372>,send<1200>
Info [2021-07-21 23:39:21]thread<8>,clients<150>,connect<1200>,time<1.000249>,send<1200>
Info [2021-07-21 23:39:22]thread<8>,clients<150>,connect<1200>,time<1.000654>,send<1200>
Info [2021-07-21 23:39:23]thread<8>,clients<150>,connect<1200>,time<1.000242>,send<1200>
Info [2021-07-21 23:39:24]thread<8>,clients<150>,connect<1200>,time<1.000209>,send<1200>
Info [2021-07-21 23:39:25]thread<8>,clients<150>,connect<1200>,time<1.001982>,send<1200>
Info [2021-07-21 23:39:26]thread<8>,clients<150>,connect<1200>,time<1.001077>,send<1200>
Info [2021-07-21 23:39:27]thread<8>,clients<150>,connect<1200>,time<1.001171>,send<1200>
Info [2021-07-21 23:39:28]thread<8>,clients<150>,connect<1200>,time<1.001482>,send<1200>
Info [2021-07-21 23:39:29]thread<8>,clients<150>,connect<1200>,time<1.000891>,send<1200>
Info [2021-07-21 23:39:30]thread<8>,clients<150>,connect<1200>,time<1.001475>,send<1200>
Info [2021-07-21 23:39:31]thread<8>,clients<150>,connect<1200>,time<1.000998>,send<1200>
Info [2021-07-21 23:39:32]thread<8>,clients<150>,connect<1200>,time<1.000590>,send<1200>
Info [2021-07-21 23:39:33]thread<8>,clients<150>,connect<1200>,time<1.001097>,send<1200>
Info [2021-07-21 23:39:34]thread<8>,clients<150>,connect<1200>,time<1.000521>,send<1200>
Info [2021-07-21 23:39:35]thread<8>,clients<150>,connect<1200>,time<1.001329>,send<1200>
Info [2021-07-21 23:39:36]thread<8>,clients<150>,connect<1200>,time<1.000610>,send<1200>
Info [2021-07-21 23:39:37]thread<8>,clients<150>,connect<1200>,time<1.000055>,send<1200>
